Identifiant arc,Date debut dispo data,Date fin dispo data,Libelle,Identifiant noeud aval,Libelle noeud aval,Identifiant noeud amont,Libelle noeud amont,geo_point_2d long,geo_point_2d lat,geo_shape
5908,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Pte_Pantin_Sud,803,Pte_Pantin-PE-N3,800,Pte_Pantin-Av_Jean_Jaures,48.88962374757348,2.397030544480444,"{""coordinates"": [[2.396975255086203, 48.889487253621674], [2.397085833874685, 48.889760241525295]], ""type"": ""LineString""}"
5197,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Place_Pte_Champerret,2739,Champerret-Somme,2748,Pl_Stuart_Merrill,48.88587546999335,2.2903633703950783,"{""coordinates"": [[2.291410890991757, 48.88572715057197], [2.2893158497984, 48.886023789414736]], ""type"": ""LineString""}"
5230,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bd_Pershing,2754,Gouvion_St_Cyr-Pershing,2758,Pl_General_Koenig,48.881389841423776,2.2849343292741295,"{""coordinates"": [[2.284308352258539, 48.88098967008825], [2.28556030628972, 48.8817900127593]], ""type"": ""LineString""}"
5182,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PE_Chatillon,437,AE_Chatillon,435,SE_Chatillon,48.822514505119756,2.314232456194987,"{""coordinates"": [[2.31205001591271, 48.82303541733476], [2.316414896477264, 48.821993592904754]], ""type"": ""LineString""}"
5322,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PE_Bercy,2816,AE_A4,2813,SE_Bercy_A4,48.82730093543156,2.39182477957561,"{""coordinates"": [[2.389900075376762, 48.82678290089915], [2.391725386464771, 48.82736132113596], [2.3937856664783173, 48.82766143386557]], ""type"": ""LineString""}"
5405,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PE_Andre_Brechet,2849,PE_St_Ouen,2082,AE_St_Ouen,48.9003948792524,2.322057997228478,"{""coordinates"": [[2.324819276790266, 48.90066924239058], [2.322742438152637, 48.90061152524461], [2.321626847705208, 48.90045230056295], [2.319351922793548, 48.89977739598273]], ""type"": ""LineString""}"
5416,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,PE_Courcelles,2733,SE_Champerret,2267,AE_Asnieres,48.88940688386295,2.295647327035338,"{""coordinates"": [[2.298940117008637, 48.89065330025953], [2.29724427036109, 48.88979074161771], [2.293989702449519, 48.88891489454449], [2.292264753013248, 48.888382541880105]], ""type"": ""LineString""}"
5462,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AE_A4_bretelle_11,3156,Bercy_bretelles_7-11,2865,A4W,48.826392704967716,2.3922636521497975,"{""coordinates"": [[2.392472238153124, 48.82564016739541], [2.392089926647913, 48.82636848781936], [2.392177905971338, 48.82677282487396], [2.3925203327652023, 48.82708053993004]], ""type"": ""LineString""}"
6827,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,A3_bretelle_6,3540,A3_bretelle_6b,3539,A3_bretelle_6a,48.86560556735712,2.4186574144018422,"{""coordinates"": [[2.419582205767, 48.86557831070768], [2.4189427345213392, 48.86557958760311], [2.41838531857578, 48.86560588373966], [2.417735281654773, 48.865679184782394]], ""type"": ""LineString""}"
5465,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AE_A3_bretelle_1,2829,AE_A3,3538,A3_bretelle_1,48.86737864674364,2.4139707804156645,"{""coordinates"": [[2.4149119733885422, 48.866412190302], [2.414365482798523, 48.86673401649293], [2.414017695448167, 48.8670900526334], [2.413702338504967, 48.867543797606196], [2.41338986746102, 48.86861117283633]], ""type"": ""LineString""}"
6830,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,A3_Y,3542,A3_Y1,2867,A3_bretelles_2-4,48.86613925604474,2.4229771486921265,"{""coordinates"": [[2.421410302200348, 48.86574577844766], [2.424543995183905, 48.86653273364182]], ""type"": ""LineString""}"
6094,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Bagnolet_bretelle_3b,3158,Bagnolet_bretelle_3b-Bretelle8b,777,Av_Cartellier-Bretelle_3,48.86437730774046,2.412893863335054,"{""coordinates"": [[2.411769864274185, 48.864900172556595], [2.413164734371197, 48.864136960831665], [2.413431941922462, 48.86401996261498], [2.413648398036685, 48.864016940296786], [2.413716763360958, 48.86416547739645], [2.413735538770835, 48.86451507065345]], ""type"": ""LineString""}"
757,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_Chatillon,429,Pte_Chatillon-Av_Pte_Chatillon,436,SI_Chatillon,48.82236811556355,2.315698588117799,"{""coordinates"": [[2.3164427185302072, 48.822110275935216], [2.314954457705391, 48.82262595519189]], ""type"": ""LineString""}"
6607,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Rene_Fonck,790,Rene_Fonck-Acces_PE,3231,Av_Pte_Lilas-Maquis_Vercors,48.87887496374202,2.4088838063896185,"{""coordinates"": [[2.409344969962709, 48.87811698267588], [2.409117505356027, 48.878421721787184], [2.408461250747453, 48.87965740397759]], ""type"": ""LineString""}"
5468,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,SI_Lilas,2870,Pte_des_Lilas_Ouest,2842,SI_Lilas,48.87949842815481,2.4065900499453083,"{""coordinates"": [[2.40452217014804, 48.880771243938824], [2.405936362363341, 48.880092883566974], [2.406787312306176, 48.879615891003496], [2.40723242245522, 48.87923367812312], [2.407567234817106, 48.87883923543972], [2.407880119345243, 48.878376235360136], [2.408240871461603, 48.87775351628352]], ""type"": ""LineString""}"
4566,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AI_Muette,3580,AI_Muette-1,2436,Muette_a_Neuilly-BP,48.8643943067355,2.267421989654147,"{""coordinates"": [[2.267032024139347, 48.86404295191156], [2.267488376548932, 48.864432611810074], [2.267785773075996, 48.864772174737524]], ""type"": ""LineString""}"
4576,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AI_Passy,3579,AI_Passy-1,2442,Pte_Passy-BP,48.858426086493125,2.262111989909054,"{""coordinates"": [[2.261940149359829, 48.858144256447275], [2.262169483291323, 48.85853515599328], [2.262303837431213, 48.858693731798056]], ""type"": ""LineString""}"
4611,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AE_Auteuil_bretelle_9,3609,AE_Auteuil-1,2435,Pl_Pte_d'Auteuil,48.8472159350905,2.255880366440642,"{""coordinates"": [[2.257166599406568, 48.84788121144715], [2.256482311125508, 48.847093215434995], [2.2557299955656642, 48.84696615155873], [2.254886247606084, 48.84718119995476], [2.254576734401656, 48.8472119099755], [2.254383201115076, 48.84711684587344]], ""type"": ""LineString""}"
5168,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,Av_Pte_St_Cloud,2722,Pte_St_Cloud-Av_Pte_St_Cloud,2486,Av.Pte_St_Cloud-BP,48.838266658365754,2.2554729108368154,"{""coordinates"": [[2.254699605248402, 48.83834227607156], [2.255537322971716, 48.838273321212434], [2.256242895238405, 48.83816314794961]], ""type"": ""LineString""}"
4673,2005-01-01T02:00:00+01:00,2019-06-01T04:00:00+02:00,AE_St_Cloud,3305,AE_St_Cloud-1,2486,Av.Pte_St_Cloud-BP,48.83835060186507,2.2532206432623276,"{""coordinates"": [[2.252441664868404, 48.83852199267382], [2.253120913237346, 48.83837741604665], [2.253700478129312, 48.838258646332434], [2.2539805159420983, 48.838123724021536]], ""type"": ""LineString""}"
